"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","1","All classes and interfaces must belong to a named package","Code Style","NoPackage"
"2","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","1","Header comments are required","Documentation","CommentRequired"
"3","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","1","1","The utility class name 'TestMyTokenizer' doesn't match '[A-Z][a-zA-Z0-9]+(Utils?|Helper)'","Code Style","ClassNamingConventions"
"4","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","2","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","2","Public method and constructor comments are required","Documentation","CommentRequired"
"6","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","3","Avoid variables with short names like s","Code Style","ShortVariable"
"7","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","3","Local variable 's' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","4","Local variable 'tok' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","5","Avoid variables with short names like z","Code Style","ShortVariable"
"10","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","5","Local variable 'z' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","11","Avoid variables with short names like s","Code Style","ShortVariable"
"12","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","11","Parameter 's' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","11","Parameter 'tok' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","11","Public method and constructor comments are required","Documentation","CommentRequired"
"15","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","12","Local variable 'str' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","25","Avoid variables with short names like d","Code Style","ShortVariable"
"17","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","25","Local variable 'd' could be declared final","Code Style","LocalVariableCouldBeFinal"
"18","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","40","Local variable 'str3' could be declared final","Code Style","LocalVariableCouldBeFinal"
"19","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","41","Consider simply returning the value vs storing it in local variable 'str3'","Code Style","UnnecessaryLocalBeforeReturn"
"20","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","44","Parameter 'arr' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"21","","/home/sam/Desktop/Final_Project/PMD/TestMyTokenizer.java","3","44","Public method and constructor comments are required","Documentation","CommentRequired"
