"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","3","18","All classes and interfaces must belong to a named package","Code Style","NoPackage"
"2","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","4","18","Avoid short class names like Run","Code Style","ShortClassName"
"3","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","3","23","Parameter 'args' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","3","29","Comment is too large: Line too long","Documentation","CommentSize"
"5","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","3","33","Comment is too large: Line too long","Documentation","CommentSize"
"6","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/Run.java","3","35","Comment is too large: Line too long","Documentation","CommentSize"
"1","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/kmlFileTest.java","3","5","All classes and interfaces must belong to a named package","Code Style","NoPackage"
"2","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/kmlFileTest.java","3","5","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/kmlFileTest.java","3","5","Header comments are required","Documentation","CommentRequired"
"4","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/kmlFileTest.java","1","5","The class name 'kmlFileTest' doesn't match '[A-Z][a-zA-Z0-9]+'","Code Style","ClassNamingConventions"
"5","","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/kmlFileTest.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"1","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","18","Field comments are required","Documentation","CommentRequired"
"3","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","19","Field comments are required","Documentation","CommentRequired"
"4","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","20","Avoid variables with short names like id","Code Style","ShortVariable"
"5","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","20","Field comments are required","Documentation","CommentRequired"
"6","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","21","Field comments are required","Documentation","CommentRequired"
"7","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","22","Field comments are required","Documentation","CommentRequired"
"8","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","25","Field comments are required","Documentation","CommentRequired"
"9","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","26","Field comments are required","Documentation","CommentRequired"
"10","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","27","Field comments are required","Documentation","CommentRequired"
"11","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","28","Field comments are required","Documentation","CommentRequired"
"12","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","1","28","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'no_signal' is not final.","Code Style","VariableNamingConventions"
"13","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","29","Field comments are required","Documentation","CommentRequired"
"14","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","1","29","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'dif_no_signal' is not final.","Code Style","VariableNamingConventions"
"15","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Avoid variables with short names like id","Code Style","ShortVariable"
"16","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Parameter 'coordinate' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"17","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Parameter 'id' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Parameter 'imagination' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Parameter 'time' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"20","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Parameter 'wifiSpotList' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"21","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","31","Public method and constructor comments are required","Documentation","CommentRequired"
"22","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","39","Parameter 'other' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"23","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","43","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"24","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","43","Public method and constructor comments are required","Documentation","CommentRequired"
"25","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","45","Avoid variables with short names like pi","Code Style","ShortVariable"
